KAPUAS HULU~PUTUSSIBAU UTARA~17~PSU01~PUTUSSIBAU UTARA~TANJUNG BERUANG
KAPUAS HULU~PUTUSSIBAU UTARA~18~PSU01~PUTUSSIBAU UTARA~TANJUNG KARANG
KAPUAS HULU~PUTUSSIBAU UTARA~19~PSU01~PUTUSSIBAU UTARA~TANJUNG LASA
KAPUAS HULU~SEBERUANG~1~PSU01~SEBERUANG~BATI
KAPUAS HULU~SEBERUANG~2~PSU01~SEBERUANG~BEKUAN
KAPUAS HULU~SEBERUANG~3~PSU01~SEBERUANG~BELIKAI
KAPUAS HULU~SEBERUANG~4~PSU01~SEBERUANG~BELUIS HARUM
KAPUAS HULU~SEBERUANG~5~PSU01~SEBERUANG~EMPERIANG
KAPUAS HULU~SEBERUANG~6~PSU01~SEBERUANG~GURUNG
KAPUAS HULU~SEBERUANG~7~PSU01~SEBERUANG~JERENJANG
KAPUAS HULU~SEBERUANG~8~PSU01~SEBERUANG~NANGA LOT
KAPUAS HULU~SEBERUANG~9~PSU01~SEBERUANG~NANGA PALA
KAPUAS HULU~SEBERUANG~10~PSU01~SEBERUANG~PALA KOTA
KAPUAS HULU~SEBERUANG~11~PSU01~SEBERUANG~RANYAI
KAPUAS HULU~SEBERUANG~12~PSU01~SEBERUANG~SEJIRAM
KAPUAS HULU~SEBERUANG~13~PSU01~SEBERUANG~SENEBAN
KAPUAS HULU~SEBERUANG~14~PSU01~SEBERUANG~TAJAU MADA
KAPUAS HULU~SEBERUANG~15~PSU01~SEBERUANG~TANJUNG KELILING
KAPUAS HULU~SELIMBAU~1~PSU01~SELIMBAU~BENUIS
KAPUAS HULU~SELIMBAU~2~PSU01~SELIMBAU~DALAM
KAPUAS HULU~SELIMBAU~3~PSU01~SELIMBAU~ENGKERENGAS
KAPUAS HULU~SELIMBAU~4~PSU01~SELIMBAU~GERAYAU
KAPUAS HULU~SELIMBAU~5~PSU01~SELIMBAU~GUDANG HILIR
KAPUAS HULU~SELIMBAU~6~PSU01~SELIMBAU~GUDANG HULU
KAPUAS HULU~SELIMBAU~7~PSU01~SELIMBAU~MAWAN
KAPUAS HULU~SELIMBAU~8~PSU01~SELIMBAU~NANGA LEBOYAN
KAPUAS HULU~SELIMBAU~9~PSU01~SELIMBAU~NIBUNG
KAPUAS HULU~SELIMBAU~10~PSU01~SELIMBAU~PIASAK HILIR
KAPUAS HULU~SELIMBAU~11~PSU01~SELIMBAU~PIASAK HULU
KAPUAS HULU~SELIMBAU~12~PSU01~SELIMBAU~SEKUBAH
KAPUAS HULU~SELIMBAU~13~PSU01~SELIMBAU~SEKULAT
KAPUAS HULU~SELIMBAU~14~PSU01~SELIMBAU~SEMALAH
KAPUAS HULU~SELIMBAU~15~PSU01~SELIMBAU~TEMPURAU
KAPUAS HULU~SELIMBAU~16~PSU01~SELIMBAU~TITIAN KUALA
KAPUAS HULU~SELIMBAU~17~PSU01~SELIMBAU~VEGA
KAPUAS HULU~SEMITAU~1~PSU01~SEMITAU~ENTIPAN
KAPUAS HULU~SEMITAU~2~PSU01~SEMITAU~KENEPEI KOMPLEK
KAPUAS HULU~SEMITAU~3~PSU01~SEMITAU~KENERAK
KAPUAS HULU~SEMITAU~4~PSU01~SEMITAU~NANGA SEBERUANG
KAPUAS HULU~SEMITAU~5~PSU01~SEMITAU~SEMITAU HULU
KAPUAS HULU~SILAT HILIR~1~PSU01~SILAT HILIR~BARU
KAPUAS HULU~SILAT HILIR~2~PSU01~SILAT HILIR~BONGKONG
KAPUAS HULU~SILAT HILIR~3~PSU01~SILAT HILIR~BUKIT PENAI
KAPUAS HULU~SILAT HILIR~4~PSU01~SILAT HILIR~MIAU MERAH
KAPUAS HULU~SILAT HILIR~5~PSU01~SILAT HILIR~NANGA NUAR
KAPUAS HULU~SILAT HILIR~6~PSU01~SILAT HILIR~PANGERAN
KAPUAS HULU~SILAT HILIR~7~PSU01~SILAT HILIR~PENAI
KAPUAS HULU~SILAT HILIR~8~PSU01~SILAT HILIR~PERIGI
KAPUAS HULU~SILAT HILIR~9~PSU01~SILAT HILIR~RUMBIH
KAPUAS HULU~SILAT HILIR~10~PSU01~SILAT HILIR~SEBERU
KAPUAS HULU~SILAT HILIR~11~PSU01~SILAT HILIR~SEI/SUNGAI SENA
KAPUAS HULU~SILAT HILIR~12~PSU01~SILAT HILIR~SENTABAI
KAPUAS HULU~SILAT HILIR~13~PSU01~SILAT HILIR~SETUNGGUL
KAPUAS HULU~SILAT HULU~1~PSU01~SILAT HULU~BELIMBING
KAPUAS HULU~SILAT HULU~2~PSU01~SILAT HULU~DANGKAN KOTA
KAPUAS HULU~SILAT HULU~3~PSU01~SILAT HULU~ENTEBI
KAPUAS HULU~SILAT HULU~4~PSU01~SILAT HULU~LANDAU BADAI
KAPUAS HULU~SILAT HULU~5~PSU01~SILAT HULU~LANDAU RANTAU
KAPUAS HULU~SILAT HULU~6~PSU01~SILAT HULU~LEBAK NAJAH
KAPUAS HULU~SILAT HULU~7~PSU01~SILAT HULU~NANGA DANGKAN I
KAPUAS HULU~SILAT HULU~8~PSU01~SILAT HULU~NANGA LUAN
KAPUAS HULU~SILAT HULU~9~PSU01~SILAT HULU~NANGA LUNGU
KAPUAS HULU~SILAT HULU~10~PSU01~SILAT HULU~NANGA NGERI
KAPUAS HULU~SILAT HULU~11~PSU01~SILAT HULU~PERJUK
